,word,tendency
0,嘉,0.34620123329524777
1,好,0.28765407869380527
2,实在,0.2689234512942471
3,厚,0.2416685241808294
4,亲,0.23877410378640906
5,对,0.2376706279076235
6,nice,0.23244993063833658
7,挺,0.23115079365079372
8,管,0.22385480260480262
9,行,0.2047063191438192
10,地道,0.1972803020049605
11,苦,0.1937301195818264
12,物美价廉,0.19350260127271612
13,够味儿,0.19350260127271612
14,俱佳,0.19350260127271612
15,相,0.19265275331922938
16,佳,0.19110349527016202
17,好好,0.19086755515940917
18,推,0.18717169182002935
19,可,0.18685560847325555
20,恭喜,0.185904827355313
21,良好,0.18227925671603828
22,帮,0.18020298271608298
23,破,0.18013261438105233
24,难,0.18002208380024148
25,还,0.17926349229898797
26,打,0.17895548962904334
27,精选,0.17788611898956735
28,表扬,0.17697716337631142
29,称赞,0.17697716337631142
30,叹为观止,0.17697716337631142
31,恭维,0.17697716337631142
32,点赞,0.17697716337631142
33,提倡,0.17697716337631142
34,夸,0.17697716337631142
35,比较,0.17659000456234286
36,硬,0.1759684491568549
37,正,0.17495627580879825
38,感谢,0.1748016989785282
39,good,0.17461259004937163
40,包,0.1735440428164886
41,通过,0.17302739781082044
42,卷,0.17162603525506764
43,完善,0.1704310104560811
44,达,0.17033885546404293
45,最好,0.16865254180037886
46,可以,0.16865254180037886
47,顺,0.1685736023236024
48,拼,0.16720050615231313
49,加油,0.16420905316086015
50,板,0.16396049260723178
51,不及,-0.03360054935193996
52,酸,-0.03437180626673375
53,害,-0.03442761320779891
54,缺少,-0.03529454242274466
55,欠缺,-0.03529454242274466
56,上吐下泻,-0.03539094223868283
57,疲惫,-0.0359662464541764
58,饥肠辘辘,-0.0359662464541764
59,拉肚子,-0.03794535816083128
60,闹肚子,-0.03794535816083128
61,拉稀,-0.03794535816083128
62,虚脱,-0.03832735756528749
63,爆胎,-0.03832735756528749
64,坏掉,-0.03832735756528749
65,紧张,-0.03859451379447282
66,上火,-0.03883942278169161
67,生病,-0.03883942278169161
68,有病,-0.03883942278169161
69,半死,-0.040561474092882355
70,发热,-0.04163294662278405
71,关张,-0.041777613844327544
72,倒闭,-0.041777613844327544
73,关门大吉,-0.041777613844327544
74,少量,-0.04262150547864835
75,有限,-0.04262150547864835
76,一丝一毫,-0.04262150547864835
77,更少,-0.04262150547864835
78,失败,-0.0433959391473297
79,痛,-0.04343448432941188
80,一点点,-0.04446746309246308
81,一星半点,-0.04446746309246308
82,半点,-0.04446746309246308
83,一丁点儿,-0.04446746309246308
84,绝望,-0.04482618362105245
85,闹心,-0.04547327296311032
86,吃不饱,-0.04585062967507125
87,不爽,-0.046933710551960384
88,大失所望,-0.04712769851244125
89,病,-0.04963049140473563
90,瞎眼,-0.049763539979013116
91,寸,-0.0501215054786483
92,错过,-0.0501500879052057
93,丧失,-0.0501500879052057
94,中毒,-0.05138493695690277
95,损失,-0.05173224711076713
96,短,-0.052068398873430344
97,稀,-0.053732616589759474
98,不满,-0.06408389967043521
99,过期,-0.06520233514281132
100,难受,-0.07604931234418116
